,Feature,Importance
15,sentiment_volatility,0.16256837538588095
0,conversation_length,0.11798065481103165
4,agent_word_count,0.09033477936453158
2,agent_text_length,0.08593303319161136
16,customer_sentiment_shift,0.07339763166213076
1,customer_text_length,0.06567092993332758
13,customer_initial_sentiment,0.06383447867942625
3,customer_word_count,0.06286962866056328
6,agent_sentence_count,0.051106440840492956
5,customer_sentence_count,0.04345012229285129
14,customer_final_sentiment,0.0424188707124786
7,customer_question_marks,0.030036215322426486
11,total_turns,0.027818225924515164
10,agent_turns,0.022008665855855977
12,turn_ratio,0.020459167421536622
9,customer_turns,0.020344414956852463
8,customer_exclamation_marks,0.01976836498448705
