issue_category,negative,neutral,positive
Accessing Warranty Details,0.0,100.0,0.0
Account Reactivation and Deactivation,70.0,30.0,0.0
Account and Shopping,23.076923076923077,76.92307692307693,0.0
Adding and Changing Account Information,0.0,100.0,0.0
Availability of Faster Delivery Options,100.0,0.0,0.0
Book Pricing Discrepancies,0.0,100.0,0.0
Cash on Delivery (CoD) Refunds,72.41379310344827,27.586206896551722,0.0
Contacting Seller's Partnered Courier Service Providers,0.0,100.0,0.0
Delivery Process,0.0,100.0,0.0
Expedited Delivery,0.0,100.0,0.0
Extended Warranty,0.0,100.0,0.0
Free Delivery Qualification,0.0,100.0,0.0
Installation and Accessories,0.0,100.0,0.0
Invoice and Payment,52.77777777777778,47.22222222222222,0.0
Login Issues and Error Messages,0.0,100.0,0.0
Login Methods,0.0,100.0,0.0
Lost or Missing Warranty Card,31.25,68.75,0.0
Loyalty program,22.22222222222222,77.77777777777779,0.0
Miscellaneous,100.0,0.0,0.0
Mobile Number and Email Verification,25.423728813559322,74.57627118644068,0.0
Order Cancellation,0.0,100.0,0.0
Order Confirmation and Status,0.0,62.857142857142854,37.142857142857146
Order Delivery Issues,100.0,0.0,0.0
Pickup and Shipping,65.15151515151516,34.84848484848485,0.0
Placing an Order,0.0,0.0,100.0
Pricing and Discounts,47.22222222222222,52.77777777777778,0.0
Product Availability and Status,50.0,50.0,0.0
Product Availability for Shipping,100.0,0.0,0.0
Product Information and Tags,0.0,0.0,100.0
Product Installation,25.0,75.0,0.0
Product Registration and Warranty,27.27272727272727,72.72727272727273,0.0
Replacement and Return Process,18.96551724137931,81.03448275862068,0.0
Return Checks and Fees,42.857142857142854,57.14285714285714,0.0
Return and Exchange,57.89473684210527,42.10526315789473,0.0
Returns and Refunds,78.37837837837837,21.62162162162162,0.0
Shipping Options for Returns,0.0,100.0,0.0
Standard Shipping Speeds and Delivery Charges,46.666666666666664,53.333333333333336,0.0
Start Date of Warranty,0.0,100.0,0.0
Warranty Claim Process,0.0,100.0,0.0
Warranty Terms and Changes,38.46153846153847,61.53846153846154,0.0
